kanji,frame,key word,components,on_reading,kun_reading,stroke_count,jlpt
窯,1423,kiln,hole; house; human legs; sheep; oven-fire; barbecue,ヨウ,かま,15,N1
窮,1424,hard up,hole; house; human legs; somebody; nose; bow,キュウ; キョウ,きわ.める; きわ.まる; きわ.まり; きわ.み,15,N1
探,1425,grope,finger; fingers; paper punch; Miss World; hole; house; human legs; tree; wood,タン,さぐ.る; さが.す,11,N3
深,1426,deep,water; water droplets; water pistol; paper punch; Miss World; hole; house; human legs; tree; wood,シン,ふか.い; -ぶか.い; ふか.まる; ふか.める; み-,11,N3
丘,1427,hill,axe; one; floor,キュウ,おか,5,N1
岳,1428,Point,point; hill; axe; one; floor; mountain,ガク,たけ,8,N1
兵,1429,soldier,hill; axe; one; floor; animal legs; eight,ヘイ; ヒョウ,つわもの,7,N2
浜,1430,seacoast,water; water droplets; water pistol; soldier; hill; axe; one; floor; animal legs; eight,ヒン,はま,10,N1
糸,1431,thread,spiderman,シ,いと,6,N2
織,1432,weave,thread; spiderman; kazoo; sound; vase; stand up; sun; day; fiesta,ショク; シキ,お.る; お.り; おり; -おり; -お.り,18,N1
繕,1433,darning,thread; spiderman; virtuous; sheep; horns; mouth,ゼン,つくろ.う,18,N1
縮,1434,shrink,thread; spiderman; inn; house; person; hundred; one; ceiling; white; dove,シュク,ちぢ.む; ちぢ.まる; ちぢ.める; ちぢ.れる; ちぢ.らす,17,N1
繁,1435,luxuriant,cleverness; reclining; lying down; mother; breasts; taskmaster; thread; spiderman,ハン,しげ.る; しげ.く,16,N1
縦,1436,vertical,thread; spiderman; accompany; Nelson; column; going; line; horns; mend,ジュウ,たて,16,N1
緻,1437,fine,,チ,こまか.い,16
線,1438,line,thread; spiderman; spring; white; dove; water,セン,すじ,15,N2
綻,1439,come apart at the seams,thread; spiderman; determine; determined; house; mend,タン,ほころ.びる,14
締,1440,tighten,thread; spiderman; sovereign; vase; stand up; apron; crown; towel,テイ,し.まる; し.まり; し.める; -し.め; -じ.め,15,N1
維,1441,fiber,thread; spiderman; turkey,イ,,14,N1
羅,1442,gauze,eye; cross-eyed; net; fibre; thread; spiderman; turkey,ラ,うすもの,19,N1
練,1443,practice,thread; spiderman; east; tree; wood; sun; day,レン,ね.る; ね.り,14,N2
緒,1444,thong,thread; spiderman; someone; puppet; sooty; old man; sun; day,ショ; チョ,お; いとぐち,14,N3
続,1445,continue,thread; spiderman; sell; samurai; crown; human legs,ゾク; ショク; コウ; キョウ,つづ.く; つづ.ける; つぐ.ない,13,N3
絵,1446,picture,thread; spiderman; meeting; one; wall; umbrella; rising cloud; two; elbow; wall,カイ; エ,,12,N3
統,1447,overall,thread; spiderman; allot; infant; toddler; top hat; elbow; human legs,トウ,す.べる; ほび.る,12,N1
絞,1448,strangle,thread; spiderman; mingle; top hat; father,コウ,しぼ.る; し.める; し.まる,12,N1
給,1449,salary,thread; spiderman; fit; meeting; umbrella; one; mouth,キュウ,たま.う; たも.う; -たま.え,12,N3
絡,1450,entwine,thread; spiderman; each; walking legs; mouth,ラク,から.む; から.まる,12,N2
結,1451,tie,thread; spiderman; aerosol; samurai; mouth,ケツ; ケチ,むす.ぶ; ゆ.う; ゆ.わえる,12,N1
終,1452,end,thread; spiderman; winter; walking legs; ice; drop,シュウ,お.わる; -お.わる; おわ.る; お.える; つい; つい.に,11,N4
級,1453,class,thread; spiderman; reach out; outstretched hands,キュウ,,9,N1
紀,1454,chronicle,thread; spiderman; snake; self,キ,,9,N1
紅,1455,crimson,thread; spiderman; craft,コウ; ク,べに; くれない; あか.い,9,N2
納,1456,settlement,thread; spiderman; inside; person; belt,ノウ; ナッ; ナ; ナン; トウ,おさ.める; -おさ.める; おさ.まる,10,N1
紡,1457,spinning,thread; spiderman; compass; direction,ボウ,つむ.ぐ,10,N1
紛,1458,distract,thread; spiderman; part; eight; sword; dagger,フン,まぎ.れる; -まぎ.れ; まぎ.らす; まぎ.らわす; まぎ.らわしい,10,N1
紹,1459,introduce,thread; spiderman; summon; seduce; sword; dagger; mouth,ショウ,,11,N2
経,1460,sutra,thread; spiderman; spool; clod; toilet paper; crotch; soil; dirt; ground,ケイ; キョウ,へ.る; た.つ; たていと; はか.る; のり,11,N3
紳,1461,sire,thread; spiderman; monkey; sun; day; stick,シン,,11,N1
約,1462,promise,thread; spiderman; ladle,ヤク,,9,N3
細,1463,dainty,thread; spiderman; rice field; brains,サイ,ほそ.い; ほそ.る; こま.か; こま.かい,11,N2
累,1464,accumulate,rice field; brains; thread; spiderman,ルイ,,11,N1
索,1465,cord,bishop; cross; ten; needle; crown; thread; spiderman,サク,,10,N1
総,1466,general,thread; spiderman; public; eight; elbows; heart,ソウ,す.べて; すべ.て; ふさ,14,N2
綿,1467,cotton,thread; spiderman; napkin; white; dove; towel,メン,わた,14,N2
絹,1468,silk,thread; spiderman; mouth; moon; month; flesh; part of the body,ケン,きぬ,13,N1
繰,1469,winding,thread; spiderman; furniture; goods; mouth; tree; wood,ソウ,く.る,19,N1
継,1470,inherit,thread; spiderman; rice; fishhook,ケイ,つ.ぐ; まま-,13,N1
緑,1471,green,thread; spiderman; dustpan; broom; grains of rice,リョク; ロク,みどり,14,N2
縁,1472,affinity,thread; spiderman; broom; sow; pig,エン; ネン,ふち; ふちど.る; ゆかり; よすが; へり; えにし,15,N1
網,1473,netting,thread; spiderman; glass jar; hood; horns; one; deceased; perish; top hat; fishhook,モウ,あみ,14,N1
緊,1474,tense,loincloth; retainer; slave; crotch; thread; spiderman,キン,,15,N1
紫,1475,purple,Prince; this here; stop; footprint; spoon; sitting on the ground; thread; spiderman,シ,むらさき,12,N1
縛,1476,truss,thread; spiderman; acupuncturist; specialty; drop; ten; needle; rice field; brains; glue,バク,しば.る,16,N1
縄,1477,straw rope,thread; spiderman; eels; sun; day,ジョウ,なわ; ただ.す,15,N1
幼,1478,infancy,cocoon; power; muscle; arnold,ヨウ,おさな.い,5,N2
後,1479,behind,Nelson; column; going; line; cocoon; walking legs,ゴ; コウ,のち; うし.ろ; うしろ; あと; おく.れる,9,N5
幽,1480,faint,seclude; cocoon; mountain,ユウ; ヨウ,ふか.い; かす.か; くら.い; しろ.い,9,N1
幾,1481,how many,cocoon; person; fiesta,キ,いく-; いく.つ; いく.ら,12,N3
機,1482,mechanism,tree; wood; abacus; how many; cocoon; person; fiesta,キ,はた,16,N3
畿,1483,capital suburbs,cocoon; rice field; brains; fiesta,キ,みやこ,15
玄,1484,mysterious,top hat; cocoon,ゲン,,5,N1
畜,1485,livestock,mysterious; top hat; cocoon; rice field; brains,チク,,10,N2
蓄,1486,amass,flowers; livestock; mysterious; top hat; cocoon; rice field; brains,チク,たくわ.える,13,N1
弦,1487,bowstring,bow; mysterious; top hat; cocoon,ゲン,つる,8,N1
擁,1488,hug,finger; fingers; mysterious; top hat; cocoon; turkey,ヨウ,,16,N1
滋,1489,nourishing,water; water droplets; water pistol; double-mysterious; mothballs; horns; one; cocoon,ジ,,12,N1
慈,1490,mercy,double-mysterious; mothballs; horns; one; cocoon; heart,ジ,いつく.しむ,13,N1
磁,1491,magnet,stone; rock; double-mysterious; mothballs; horns; one; cocoon,ジ,,14,N1
系,1492,lineage,stick; drop; thread; spiderman,ケイ,,7,N1
係,1493,person in charge,person; lineage; drop; thread; spiderman,ケイ,かか.る; かかり; -がかり; かか.わる,9,N3
孫,1494,grandchild,child; lineage; drop; thread; spiderman,ソン,まご,10,N2
懸,1495,suspend,prefecture; eye; fishhook; small; little; lineage; stick; drop; thread; spiderman; heart,ケン; ケ,か.ける; か.かる,20,N1
遜,1496,modest,grandchild; child; lineage; drop; thread; spiderman; road,ソン,したが.う; へりくだ.る; ゆず.る,13
却,1497,instead,gone; soil; dirt; ground; elbow; stamp,キャク,かえ.って; しりぞ.く; しりぞ.ける,7,N1
脚,1498,shins,skids; moon; month; flesh; part of the body; instead; gone; soil; dirt; ground; elbow; stamp,キャク; キャ; カク,あし,11,N1
卸,1499,wholesale,horseshoe; horse; pantomime horse; noon; sign of the horse; stop; footprint; stamp,シャ,おろ.す; おろし; おろ.し,9,N1
御,1500,honorable,Nelson; column; going; line; wholesale; horseshoe; pantomime horse; noon; sign of the horse; stop; footprint; stamp,ギョ; ゴ,おん-; お-; み-,12,N3
服,1501,clothing,moon; month; flesh; part of the body; underpants; stamp; crotch,フク,,8,N4
命,1502,fate,fit; meeting; umbrella; one; mouth; stamp,メイ; ミョウ,いのち,8,N3
令,1503,orders,meeting; chop-seal; hanko,レイ,,5,N2
零,1504,zero,rain; weather; orders; meeting; chop-seal; hanko,レイ,ぜろ; こぼ.す; こぼ.れる,13,N2
齢,1505,age,teeth; tooth; stop; footprint; rice; shovel; orders; meeting; chop-seal; hanko,レイ,よわ.い; とし,17,N2
冷,1506,cool,ice; orders; meeting; chop-seal; hanko,レイ,つめ.たい; ひ.える; ひ.や; ひ.ややか; ひ.やす; ひ.やかす; さ.める; さ.ます,7,N3
領,1507,jurisdiction,orders; meeting; chop-seal; hanko; head; page; one; ceiling; drop; shellfish; clam; oyster; eye; animal legs; eight,リョウ,えり,14,N2
鈴,1508,small bell,metal; gold; orders; meeting; chop-seal; hanko,レイ; リン,すず,13,N1
勇,1509,courage,chop-seal; hanko; male; rice field; brains; power; muscle; arnold,ユウ,いさ.む,9,N2
湧,1510,bubble up,water; water droplets; water pistol; courageous; courage; chop-seal; hanko; male; rice field; brains; power; muscle; arnold,ユウ; ヨウ; ユ,わ.く,12,N1
通,1511,traffic,pogo stick; chop-seal; hanko; utilise; utilize; road,ツウ; ツ,とお.る; とお.り; -とお.り; -どお.り; とお.す; とお.し; -どお.し; かよ.う,10,N4
踊,1512,jump,wooden leg; mouth; stop; footprint; pogo stick; chop-seal; hanko; utilise; utilize,ヨウ,おど.る,14,N2
疑,1513,doubt,spoon; sitting on the ground; dart; drop; heavens; chop-seal; hanko; zoo; critters,ギ,うたが.う,14,N3
擬,1514,mimic,finger; fingers; doubt; spoon; sitting on the ground; dart; drop; heavens; chop-seal; hanko; zoo; critters,ギ,まが.い; もど.き,17,N1
凝,1515,congeal,ice; doubt; spoon; sitting on the ground; dart; drop; heavens; chop-seal; hanko; zoo; critters,ギョウ,こ.る; こ.らす; こご.らす; こご.らせる; こご.る,16,N1
範,1516,pattern,bamboo; car; fingerprint,ハン,,15,N1
犯,1517,crime,pack of wild dogs; fingerprint,ハン; ボン,おか.す,5,N3
氾,1518,widespread,water; water droplets; water pistol; fingerprint,ハン,ひろ.がる,5
厄,1519,unlucky,cliff; fingerprint,ヤク,,4,N1
危,1520,dangerous,bound up; unlucky; cliff; fingerprint,キ,あぶ.ない; あや.うい; あや.ぶむ,6,N3
宛,1521,address,house; mailbox; evening; fingerprint,エン,あ.てる; -あて; -づつ; あたか.も,8
腕,1522,arm,moon; month; flesh; part of the body; address; house; mailbox; evening; fingerprint,ワン,うで,12,N2
苑,1523,garden,flowers; mailbox; evening; fingerprint,エン; オン,その; う.つ,8,N1
怨,1524,grudge,mailbox; evening; fingerprint; heart,エン; オン; ウン,うら.む; うらみ; うら.めしい,9
柳,1525,willow,tree; wood; blown eggs; sign of the hare; receipt; stamp,リュウ,やなぎ,9,N1
卵,1526,egg,sign of the hare; receipt; stamp; drops,ラン,たまご,7,N2
留,1527,detain,receipt; sword; dagger; rice field; brains,リュウ; ル,と.める; と.まる; とど.める; とど.まる; るうぶる,10,N3
瑠,1528,marine blue,king; jewel; ball; detain; receipt; dagger; sword; rice field; brains,ル; リュウ,,14,N1
貿,1529,trade,receipt; sword; dagger; shellfish; clam; oyster; eye; animal legs; eight,ボウ,,12,N2
印,1530,stamp,staples,イン,しるし; -じるし; しる.す,6,N2
臼,1531,mortar,back to back staples,キュウ; グ,うす; うすづ.く,6
毀,1532,break,mortar; soil; dirt; ground; cruise missile; missile; wind; crotch,キ,こぼ.つ; こわ.す; こぼ.れる; こわ.れる; そし.る; やぶ.る,13
興,1533,entertain,staples; same; monks; hood; one; mouth; tool; animal legs; eight,コウ; キョウ,おこ.る; おこ.す,16,N1
酉,1534,sign of the bird,whiskey bottle; west; one,ユウ,とり,7,N1
酒,1535,sake,water; water droplets; water pistol; whiskey bottle,シュ,さけ; さか-,10,N3
酌,1536,bartending,whiskey bottle; ladle,シャク,く.む,10,N1
酎,1537,hooch,whiskey bottle; glue,チュウ; チュ,かも.す,10
酵,1538,fermentation,whiskey bottle; filial piety; old man; child,コウ,,14,N1
酷,1539,cruel,whiskey bottle; revelation; cow; mouth,コク,ひど.い,14,N1
酬,1540,repay,whiskey bottle; state; stream; drop,シュウ; シュ; トウ,むく.いる,13,N1
酪,1541,dairy products,whiskey bottle; each; walking legs; mouth,ラク,,13,N1
酢,1542,vinegar,whiskey bottle; saw,サク,す,12,N1
酔,1543,drunk,whiskey bottle; ninety; nine; baseball; ten; needle,スイ,よ.う; よ.い; よ,11,N1
配,1544,distribute,whiskey bottle; snake; self,ハイ,くば.る,10,N3
酸,1545,acid,whiskey bottle; streetwalker; Ministry of silly walks; John Cleese; license; elbow; human legs; walking legs,サン,す.い,14,N1
猶,1546,waver,furthermore; pack of wild dogs; chieftain; Molotov cocktail; animal horns; whiskey bottle,ユウ; ユ,なお,12,N1
尊,1547,revered,chieftain; Molotov cocktail; animal horns; whiskey bottle; glue,ソン,たっと.い; とうと.い; たっと.ぶ; とうと.ぶ,12,N2
豆,1548,beans,table; one; mouth,トウ; ズ,まめ; まめ-,7,N1
頭,1549,head,beans; table; one; mouth; page; one; ceiling; drop; shellfish; clam; oyster; eye; animal legs; eight,トウ; ズ; ト,あたま; かしら; -がしら; かぶり,16,N3
短,1550,short,dart; drop; heavens; beans; table; one; mouth,タン,みじか.い,12,N2
豊,1551,bountiful,bend; beans; table; one; mouth,ホウ; ブ,ゆた.か; とよ,13,N2
鼓,1552,drum,samurai; beans; table; one; mouth; branch; ten; needle; crotch,コ,つづみ,13,N1
喜,1553,rejoice,drum; samurai; beans; table; one; mouth; mouth,キ,よろこ.ぶ; よろこ.ばす,12,N3
樹,1554,timber-trees,tree; wood; drum; samurai; beans; table; one; mouth; glue,ジュ,き,16,N1
皿,1555,dish,,ベイ,さら,5,N2
血,1556,blood,drop; dish,ケツ,ち,6,N2
盆,1557,basin,part; eight; sword; dagger; dish,ボン,,9,N1
盟,1558,alliance,bright; sun; day; moon; month; flesh; part of the body; dish,メイ,,13,N1
盗,1559,steal,next; ice; lack; yawn; dish,トウ,ぬす.む; ぬす.み,11,N3
温,1560,warm,water; water droplets; water pistol; sun; day; dish,オン,あたた.か; あたた.かい; あたた.まる; あたた.める; ぬく,12,N2
蓋,1561,lid,flowers; gone; soil; dirt; ground; elbow; dish,ガイ; カイ; コウ,ふた; けだ.し; おお.う; かさ; かこう,13
監,1562,oversee,retainer; slave; reclining; lying down; one; floor; dish,カン,,15,N1
濫,1563,overflow,water; water droplets; water pistol; oversee; retainer; slave; reclining; lying down; one; floor; dish,ラン,みだ.りに; みだ.りがましい,18,N1
鑑,1564,specimen,metal; gold; oversee; retainer; slave; reclining; lying down; one; floor; dish,カン,かんが.みる; かがみ,23,N1
藍,1565,indigo,flowers; oversee; retainer; slave; reclining; lying down; one; floor; dish,ラン,あい,18,N1
猛,1566,fierce,pack of wild dogs; child; dish,モウ,,11,N1
盛,1567,boom,turn into; dish,セイ; ジョウ,も.る; さか.る; さか.ん,11,N1
塩,1568,salt,soil; dirt; ground; reclining; lying down; mouth; dish,エン,しお,13,N2
銀,1569,silver,metal; gold,ギン,しろがね,14,N4
恨,1570,resentment,regret; Freud; state of mind; silver,コン,うら.む; うら.めしい,9,N1
根,1571,root,tree; wood; silver,コン,ね; -ね,10,N2
即,1572,instant,silver; stamp,ソク,つ.く; つ.ける; すなわ.ち,7,N1
爵,1573,baron,claw; vulture; net; eye; silver; glue,シャク,,17,N1
節,1574,node,bamboo; instant; silver; stamp,セツ; セチ,ふし; -ぶし; のっと,13,N1
退,1575,retreat,road; silver,タイ,しりぞ.く; しりぞ.ける; ひ.く; の.く; の.ける; ど.く,9,N3
限,1576,limit,pinnacle; parthenon; acropolis; silver,ゲン,かぎ.る; かぎ.り; -かぎ.り,9,N3
眼,1577,eyeball,eye; silver,ガン; ゲン,まなこ; め,11,N1
良,1578,good,drop; silver,リョウ,よ.い; -よ.い; い.い; -い.い,7,N3
朗,1579,melodious,halo; drop; silver; moon; month; flesh; part of the body,ロウ,ほが.らか; あき.らか,10,N1
浪,1580,wandering,water; water droplets; water pistol; halo; drop; silver,ロウ,,10,N1
娘,1581,daughter,woman; halo; drop; silver,ジョウ,むすめ; こ,10,N3
食,1582,eat,food; umbrella; good; halo; drop; silver,ショク; ジキ,く.う; く.らう; た.べる; は.む,9,N5
飯,1583,meal,eat; food; umbrella; good; halo; drop; silver; anti-; demonstration; cliff; crotch,ハン,めし,12,N4
飲,1584,drink,eat; food; umbrella; good; halo; drop; silver; lack; yawn,イン; オン,の.む; -の.み,12,N4
飢,1585,hungry,eat; food; umbrella; good; halo; drop; silver; wind,キ,う.える,10,N1
餓,1586,starve,eat; food; umbrella; good; halo; drop; silver; ego; hand; fiesta,ガ,う.える,15,N1
飾,1587,decorate,eat; food; umbrella; good; halo; drop; silver; reclining; lying down; towel,ショク,かざ.る; かざ.り,13,N1
餌,1588,feed,eat; food; umbrella; good; halo; drop; silver; ear,ジ; ニ,え; えば; えさ; もち,14
館,1589,Bldg.,eat; food; umbrella; good; halo; drop; silver; bureaucrat; house; maestro without baton,カン,やかた; たて,16,N4
餅,1590,mochi,eat; food; umbrella; good; halo; drop; silver; puzzle; horns; two hands,ヘイ; ヒョウ,もち; もちい,14
養,1591,foster,sheep; eat; food; umbrella; good; halo; drop; silver,ヨウ; リョウ,やしな.う,15,N1
飽,1592,sated,eat; food; umbrella; good; halo; drop; silver; wrap; bound up; snake; self,ホウ,あ.きる; あ.かす; あ.く,13,N1
既,1593,previously,silver; waitress,キ,すで.に,10,N1
概,1594,outline,roots; tree; wood; silver; waitress; previously,ガイ,おうむ.ね,14,N1
慨,1595,rue,regret; resentment; Freud; state of mind; silver; waitress; previously,ガイ,,13,N1
平,1596,even,water-lily; lily pad,ヘイ; ビョウ; ヒョウ,たい.ら; -だいら; ひら; ひら-,5,N3
呼,1597,call,mouth; even; water-lily; lily pad; question mark,コ,よ.ぶ,8,N3
坪,1598,two-mat area,soil; dirt; ground; even; water-lily; lily pad,ヘイ,つぼ,8,N1
評,1599,evaluate,say; words; keitai; mouth; even; water-lily; lily pad,ヒョウ,,12,N1
刈,1600,reap,sheaf; sword; sabre; saber,ガイ; カイ,か.る,4,N1
刹,1601,moment,sheaf; tree; wood; sword; sabre; saber,セチ; セツ; サツ,,8
希,1602,hope,sheaf; linen; by one’s side; towel,キ; ケ,まれ,7,N2
凶,1603,villain,sheaf; shovel,キョウ,,4,N1
胸,1604,bosom,moon; month; flesh; part of the body; bound up; villain; sheaf; shovel,キョウ,むね; むな-,10,N2
離,1605,detach,sheik; top hat; villain; sheaf; shovel; belt; elbow; turkey,リ,はな.れる; はな.す,19,N1
璃,1606,crystal,king; jewel; ball; sheik; top hat; villain; sheaf; shovel; belt; elbow,リ,,15,N1
殺,1607,kill,sheaf; tree; wood; cruise missile; missile; wind; crotch,サツ; サイ; セツ,ころ.す; -ごろ.し; そ.ぐ,10,N3
爽,1608,bracing,large; St. Bernard; sheaf,ソウ,あき.らか; さわ.やか; たがう,11,N1
純,1609,genuine,thread; spiderman; earthworm; drop; shovel; fishhook,ジュン,,10,N2
頓,1610,immediate,earthworm; drop; shovel; fishhook; head; page; one; ceiling; drop; shellfish; clam; oyster; eye; animal legs; eight,トン; トツ,にわか.に; とん.と; つまず.く; とみ.に; ぬかずく,13
鈍,1611,dull,metal; gold; earthworm; drop; shovel; fishhook,ドン,にぶ.い; にぶ.る; にぶ-; なま.る; なまく.ら,12,N2
辛,1612,spicy,stand up; vase; ten; needle,シン,から.い; つら.い; -づら.い; かのと,7,N2
辞,1613,resign,tongue; thousand; mouth; spicy; stand up; vase; ten; needle,ジ,や.める; いな.む,13,N3
梓,1614,catalpa,tree; wood; spicy; stand up; vase; ten; needle,シ,あずさ,11,N1
宰,1615,superintend,house; spicy; stand up; vase; ten; needle,サイ,,10,N1
壁,1616,wall,ketchup; flag; mouth; spicy; stand up; vase; ten; needle; soil; dirt; ground,ヘキ,かべ,16,N1
璧,1617,holed gem,,ヘキ,たま,18
避,1618,evade,ketchup; flag; mouth; spicy; stand up; vase; ten; needle; road,ヒ,さ.ける; よ.ける,16,N1
新,1619,new,red pepper; stand up; vase; tree; wood; axe,シン,あたら.しい; あら.た; あら-; にい-,13,N4
薪,1620,firewood,fuel; flowers; new; red pepper; stand up; vase; tree; wood; axe,シン,たきぎ; まき,16,N1
親,1621,parent,red pepper; stand up; vase; tree; wood; see; telescope; eye; human legs,シン,おや; おや-; した.しい; した.しむ,16,N4
幸,1622,happiness,ten; needle; stand up; vase; ten; needle,コウ,さいわ.い; さち; しあわ.せ,8,N3
執,1623,tenacious,happiness; ten; needle; stand up; vase; fat man; musashimaru; nine; baseball; drop,シツ; シュウ,と.る,11,N1
摯,1624,clasp,,シ,いた.る,15
報,1625,report,happiness; ten; needle; stand up; vase; underpants; stamp; crotch,ホウ,むく.いる,12,N3
叫,1626,shout,mouth; cornucopia,キョウ,さけ.ぶ,6,N2
糾,1627,twist,thread; spiderman; cornucopia,キュウ,ただ.す,9,N1
収,1628,income,cornucopia; crotch,シュウ,おさ.める; おさ.まる,4,N3
卑,1629,lowly,Wayne Slob; drop; rice field; brains; cornucopia; ten; needle,ヒ,いや.しい; いや.しむ; いや.しめる,9,N1
碑,1630,tombstone,stone; rock; lowly; Wayne Slob; drop; rice field; brains; cornucopia; ten; needle,ヒ,いしぶみ,14,N1
陸,1631,land,pinnacle; parthenon; acropolis; mini-tractor; rice seedlings; soil; dirt; ground; human legs,リク; ロク,おか,11,N2
睦,1632,intimate,eye; mini-tractor; rice seedlings; soil; dirt; ground; human legs,ボク; モク,むつ.まじい; むつ.む; むつ.ぶ,13,N1
勢,1633,forces,mini-tractor; rice seedlings; soil; dirt; ground; human legs; fat man; musashimaru; round; nine; baseball; drop; power; muscle; arnold,セイ; ゼイ,いきお.い; はずみ,13,N2
熱,1634,heat,mini-tractor; rice seedlings; soil; dirt; ground; human legs; fat man; musashimaru; round; nine; baseball; drop; oven-fire; barbecue,ネツ,あつ.い,15,N3
菱,1635,diamond,flowers; Mao; soil; dirt; ground; human legs; walking legs,リョウ,ひし,11
陵,1636,mausoleum,pinnacle; parthenon; acropolis; Mao; soil; dirt; ground; human legs; walking legs,リョウ,みささぎ,11,N1
亥,1637,sign of the hog,acorn; top hat,ガイ; カイ,い,6,N1
核,1638,nucleus,tree; wood; sign of the hog; acorn; top hat,カク,,10,N1
刻,1639,engrave,sign of the hog; acorn; top hat; sword; sabre; saber,コク,きざ.む; きざ.み,8,N3
該,1640,above-stated,say; words; keitai; mouth; sign of the hog; acorn; top hat,ガイ,,13,N1
骸,1641,remains,skeleton; joint; moon; month; flesh; part of the body; sign of the hog; acorn; top hat,ガイ; カイ,むくろ,16
劾,1642,censure,sign of the hog; acorn; top hat; power; muscle; arnold,ガイ,,8,N1
述,1643,mention,resin; pole; road,ジュツ,の.べる,8,N2
術,1644,art,boulevard; going; resin; pole,ジュツ,すべ,11,N3
寒,1645,cold,Baba Yaga’s hut; house; celery; animal legs; ice,カン,さむ.い,12,N3
塞,1646,block up,Baba Yaga’s hut; house; celery; animal legs; soil; dirt; ground,ソク; サイ,ふさ.ぐ; とりで; み.ちる,13
醸,1647,brew,whiskey bottle; grass skirt; top hat; eight; six; animal legs; celery; scarf,ジョウ,かも.す,20,N1
譲,1648,defer,say; words; keitai; mouth; grass skirt; top hat; eight; six; animal legs; celery; scarf,ジョウ,ゆず.る,20,N1
壌,1649,lot,soil; dirt; ground; grass skirt; top hat; eight; six; animal legs; celery; scarf,ジョウ,つち,16,N1
嬢,1650,lass,woman; grass skirt; top hat; eight; six; animal legs; celery; scarf,ジョウ,むすめ,16,N1
毒,1651,poison,grow up; mother; breasts,ドク,,8,N2
素,1652,elementary,grow up; thread; spiderman,ソ; ス,もと,10,N1
麦,1653,barley,grow up; walking legs,バク,むぎ,7,N2
青,1654,blue,grow up; moon; flesh,セイ; ショウ,あお; あお-; あお.い,8,N4
精,1655,refined,rice; blue; grow up; moon; flesh,セイ; ショウ; シヤウ,,14,N3
請,1656,solicit,say; words; keitai; mouth; blue; grow up; moon; flesh,セイ; シン; ショウ,こ.う; う.ける,15,N1
情,1657,feelings,Freud; state of mind; blue; grow up; moon; flesh,ジョウ; セイ,なさ.け,11,N3
晴,1658,clear up,sun; day; blue; grow up; moon; flesh,セイ,は.れる; は.れ; は.れ-; -ば.れ; は.らす,12,N3
清,1659,pure,water; water droplets; water pistol; blue; grow up; moon; flesh,セイ; ショウ; シン,きよ.い; きよ.まる; きよ.める,11,N2
静,1660,quiet,blue; grow up; moon; flesh; contend; bound up; rake,セイ; ジョウ,しず-; しず.か; しず.まる; しず.める,14,N3
責,1661,blame,grow up; shellfish; clam; oyster; eye; animal legs; eight,セキ,せ.める,11,N3
績,1662,exploits,thread; spiderman; blame; grow up; shellfish; clam; oyster; eye; animal legs; eight,セキ,,17,N2
積,1663,volume,wheat; cereal; blame; grow up; shellfish; clam; oyster; eye; animal legs; eight,セキ,つ.む; -づ.み; つ.もる; つ.もり,16,N3
債,1664,bond,person; blame; grow up; shellfish; clam; oyster; eye; animal legs; eight,サイ,,13,N1
漬,1665,pickling,water; water droplets; water pistol; blame; grow up; shellfish; clam; oyster; eye; animal legs; eight,シ,つ.ける; つ.かる; -づ.け; -づけ,14,N1
表,1666,surface,grow up; scarf,ヒョウ,おもて; -おもて; あらわ.す; あらわ.れる; あら.わす,8,N3
俵,1667,bag,person; surface; grow up; scarf,ヒョウ,たわら,10,N1
潔,1668,undefiled,water; water droplets; water pistol; flick knife; grow up; sword; dagger; thread; spiderman,ケツ,いさぎよ.い,15,N1
契,1669,pledge,flick knife; grow up; dagger; large; St. Bernard,ケイ,ちぎ.る,9,N1
喫,1670,consume,mouth; pledge; flick knife; grow up; dagger; large; St. Bernard,キツ,,12,N2
害,1671,harm,mansion; house; grow up; mouth,ガイ,,10,N3
轄,1672,control,car; harm; mansion; house; grow up; mouth,カツ,くさび,17,N1
割,1673,proportion,harm; mansion; house; grow up; mouth; sword; sabre; saber,カツ,わ.る; わり; わ.り; わ.れる; さ.く,12,N3
憲,1674,constitution,mansion; house; grow up; eye; cross-eyed; net; heart,ケン,,16,N1
生,1675,life,This is Your Life; cell; drop; grow up,セイ; ショウ,い.きる; い.かす; い.ける; う.まれる; う.まれ; うまれ; う.む; お.う; は.える; は.やす; き; なま; なま-; な.る; な.す; む.す; -う,5,N5
星,1676,star,sun; day; life; This is Your Life; cell; drop; grow up,セイ; ショウ,ほし; -ぼし,9,N2
醒,1677,awakening,whiskey bottle; star; sun; day; life; This is Your Life; cell; drop; grow up,セイ,さ.ます; さ.める,16
姓,1678,surname,woman; life; This is Your Life; cell; drop; grow up,セイ; ショウ,,8,N2
性,1679,sex,Freud; state of mind; life; This is Your Life; cell; drop; grow up,セイ; ショウ,さが,8,N3
牲,1680,animal sacrifice,cow; life; This is Your Life; cell; drop; grow up,セイ,,9,N1
産,1681,products,vase; stand up; cliff; life; This is Your Life; cell; drop; grow up,サン,う.む; う.まれる; うぶ-; む.す,11,N3
隆,1682,hump,pinnacle; parthenon; acropolis; walking legs; life; This is Your Life; cell; drop; grow up,リュウ,,11,N1
峰,1683,summit,mountain; Segway; Macbeth; walking legs; bushes,ホウ,みね; ね,10,N1
蜂,1684,bee,insect; Segway; Macbeth; walking legs; bushes,ホウ,はち,13
