kanji,frame,key word,components,on_reading,kun_reading,stroke_count,jlpt
硝,120,nitrate,stone; rock; resemblance; spark; candle; small; little; moon; month; flesh; part of the body,ショウ,,12,N1
砕,121,smash,stone; rock; ninety; nine; baseball; ten; needle,サイ,くだ.く; くだ.ける,9,N1
砂,122,sand,stone; rock; few,サ; シャ,すな,9,N2
妬,123,jealous,woman; stone; rock,ト; ツ,ねた.む; そね.む; つも.る; ふさ.ぐ,8
削,124,plane,resemblance; spark; candle; small; little; moon; month; flesh; part of the body; sword; sabre; saber,サク,けず.る; はつ.る; そ.ぐ,9,N1
光,125,ray,small; little; human legs,コウ,ひか.る; ひかり,6,N3
太,126,plump,large; St. Bernard; drop,タイ; タ,ふと.い; ふと.る,4,N3
器,127,utensil,mouth; large; St. Bernard,キ,うつわ,15,N1
臭,128,stinking,nose; drop; eye; large; St. Bernard,シュウ,くさ.い; -くさ.い; にお.う; にお.い,9,N1
嗅,129,sniff,,キュウ,か.ぐ,13
妙,130,exquisite,woman; few,ミョウ; ビョウ,たえ,7,N1
省,131,focus,few; eye,セイ; ショウ,かえり.みる; はぶ.く,9,N2
厚,132,thick,cliff; sun; day; child,コウ,あつ.い; あか,9,N2
奇,133,strange,large; St. Bernard; can; mouth; street; nail; spike,キ,く.しき; あや.しい; くし; めずら.しい,8,N1
川,134,stream,flood,セン,かわ,3,N5
州,135,state,stream; flood; drops,シュウ; ス,す,6,N2
順,136,obey,stream; flood; head; page; one; ceiling; drop; shellfish; clam; oyster; eye; animal legs; eight,ジュン,,12,N2
水,137,water,,スイ,みず; みず-,4,N5
氷,138,icicle,drop; water,ヒョウ,こおり; ひ; こお.る,5,N2
永,139,eternity,drop; water,エイ,なが.い,5,N2
泉,140,spring,white; dove; water,セン,いずみ,9,N2
腺,141,gland,moon; month; flesh; part of the body; spring; white; dove; water,セン,,13
原,142,meadow,cliff; spring; white; dove; small; little,ゲン,はら,10,N3
願,143,petition,meadow; cliff; white; dove; small; little; head; page; one; ceiling; drop; shellfish; clam; oyster; eye; animal legs; eight,ガン,ねが.う; -ねがい,19,N3
泳,144,swim,water; water droplets; water pistol; eternity,エイ,およ.ぐ,8,N3
沼,145,marsh,water; water droplets; water pistol; summon; seduce; sword; dagger; mouth,ショウ,ぬま,8,N1
沖,146,open sea,water; water droplets; water pistol; in; stick; mouth,チュウ,おき; おきつ; ちゅう.する; わく,7,N1
汎,147,pan-,water; water droplets; water pistol; mediocre; wind; drop,ハン; ブ; フウ; ホウ; ホン,ただよ.う; ひろ.い,6
江,148,creek,water; water droplets; water pistol; craft,コウ,え,6,N1
汰,149,cleanse,water; water droplets; water pistol; plump; large; St. Bernard; drop,タ; タイ,おご.る; にご.る; よな.げる,7,N1
汁,150,soup,water; water droplets; water pistol; ten; needle,ジュウ,しる; -しる; つゆ,5,N1
沙,151,grains of sand,water; water droplets; water pistol; few,サ; シャ,すな; よなげる,7,N1
